Iteration,Distance,Target,Prediction RFC,Prediction Decision Tree,Accuracy RFC,Accuracy Decision Tree
40,0.41,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.98,0.98
41,0.42,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.98,0.98
42,0.43,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.98,0.973
43,0.44,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
44,0.45,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.98,0.973
45,0.46,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.973
46,0.47,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.973
47,0.48,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.973
48,0.49,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
49,0.5,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
50,0.51,3,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.973
51,0.52,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.887,0.82
52,0.53,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.907,0.833
53,0.54,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.887,0.84
54,0.55,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.887,0.84
55,0.56,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.88,0.853
56,0.57,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.873,0.867
57,0.58,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.88,0.84
58,0.59,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.867,0.84
59,0.6,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.887,0.853
60,0.61,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.887,0.867
61,0.62,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.867,0.867
62,0.63,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.873,0.86
63,0.64,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.853,0.86
64,0.65,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.86,0.853
65,0.66,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.88,0.853
66,0.67,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.847
67,0.68,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.853,0.853
68,0.69,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.84
69,0.7,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.833
70,0.71,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.847,0.833
71,0.72,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.833,0.84
72,0.73,3,[3 3 3 6 6 6 5 5 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.86,0.833
73,0.74,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.853,0.827
74,0.75,3,[3 3 3 6 6 6 5 6 5 4 4 2 4 0 1],[3 3 3 6 6 4 5 6 5 4 4 2 4 0 1],0.833,0.853
